,filename,original filename,scanid,digit,database name original,contributing team,database name,included
0,a00000.png,Scan_58_digit_5_num_8.png,58,5,BHDDB,Buet_Broncos,training-a,True
1,a00001.png,Scan_73_digit_3_num_5.png,73,3,BHDDB,Buet_Broncos,training-a,False
2,a00002.png,Scan_18_digit_1_num_3.png,18,1,BHDDB,Buet_Broncos,training-a,True
3,a00003.png,Scan_166_digit_7_num_3.png,166,7,BHDDB,Buet_Broncos,training-a,False
4,a00004.png,Scan_108_digit_0_num_1.png,108,0,BHDDB,Buet_Broncos,training-a,True
5,a00005.png,Scan_247_digit_4_num_8.png,247,4,BHDDB,Buet_Broncos,training-a,False
6,a00006.png,Scan_205_digit_3_num_6.png,205,3,BHDDB,Buet_Broncos,training-a,False
7,a00007.png,Scan_252_digit_0_num_7.png,252,0,BHDDB,Buet_Broncos,training-a,False
8,a00008.png,Scan_212_digit_4_num_5.png,212,4,BHDDB,Buet_Broncos,training-a,True
9,a00009.png,Scan_207_digit_9_num_1.png,207,9,BHDDB,Buet_Broncos,training-a,True
10,a00010.png,Scan_102_digit_7_num_3.png,102,7,BHDDB,Buet_Broncos,training-a,False
11,a00011.png,Scan_125_digit_3_num_3.png,125,3,BHDDB,Buet_Broncos,training-a,False
12,a00012.png,Scan_102_digit_5_num_1.png,102,5,BHDDB,Buet_Broncos,training-a,True
13,a00013.png,Scan_28_digit_8_num_7.png,28,8,BHDDB,Buet_Broncos,training-a,False
14,a00014.png,Scan_141_digit_1_num_3.png,141,1,BHDDB,Buet_Broncos,training-a,True
15,a00015.png,Scan_240_digit_2_num_0.png,240,2,BHDDB,Buet_Broncos,training-a,True
16,a00016.png,Scan_212_digit_1_num_2.png,212,1,BHDDB,Buet_Broncos,training-a,False
17,a00017.png,Scan_218_digit_6_num_0.png,218,6,BHDDB,Buet_Broncos,training-a,False
18,a00018.png,Scan_257_digit_4_num_5.png,257,4,BHDDB,Buet_Broncos,training-a,True
19,a00019.png,Scan_188_digit_0_num_7.png,188,0,BHDDB,Buet_Broncos,training-a,True
20,a00020.png,Scan_218_digit_1_num_4.png,218,1,BHDDB,Buet_Broncos,training-a,False
21,a00021.png,Scan_3_digit_9_num_3.png,3,9,BHDDB,Buet_Broncos,training-a,False
22,a00022.png,Scan_205_digit_6_num_0.png,205,6,BHDDB,Buet_Broncos,training-a,True
23,a00023.png,Scan_78_digit_5_num_8.png,78,5,BHDDB,Buet_Broncos,training-a,False
24,a00024.png,Scan_146_digit_7_num_7.png,146,7,BHDDB,Buet_Broncos,training-a,True
25,a00025.png,Scan_57_digit_7_num_0.png,57,7,BHDDB,Buet_Broncos,training-a,False
26,a00026.png,Scan_256_digit_7_num_6.png,256,7,BHDDB,Buet_Broncos,training-a,True
27,a00027.png,Scan_18_digit_6_num_1.png,18,6,BHDDB,Buet_Broncos,training-a,False
28,a00028.png,Scan_3_digit_5_num_6.png,3,5,BHDDB,Buet_Broncos,training-a,False
29,a00029.png,Scan_176_digit_8_num_2.png,176,8,BHDDB,Buet_Broncos,training-a,False
30,a00030.png,Scan_181_digit_9_num_3.png,181,9,BHDDB,Buet_Broncos,training-a,True
31,a00031.png,Scan_159_digit_7_num_6.png,159,7,BHDDB,Buet_Broncos,training-a,True
32,a00032.png,Scan_4_digit_2_num_6.png,4,2,BHDDB,Buet_Broncos,training-a,False
33,a00033.png,Scan_117_digit_3_num_3.png,117,3,BHDDB,Buet_Broncos,training-a,False
34,a00034.png,Scan_244_digit_1_num_8.png,244,1,BHDDB,Buet_Broncos,training-a,False
35,a00035.png,Scan_111_digit_6_num_7.png,111,6,BHDDB,Buet_Broncos,training-a,True
36,a00036.png,Scan_211_digit_9_num_0.png,211,9,BHDDB,Buet_Broncos,training-a,True
37,a00037.png,Scan_108_digit_7_num_2.png,108,7,BHDDB,Buet_Broncos,training-a,False
38,a00038.png,Scan_101_digit_0_num_4.png,101,0,BHDDB,Buet_Broncos,training-a,False
39,a00039.png,Scan_113_digit_4_num_4.png,113,4,BHDDB,Buet_Broncos,training-a,True
40,a00040.png,Scan_202_digit_9_num_6.png,202,9,BHDDB,Buet_Broncos,training-a,False
41,a00041.png,Scan_247_digit_5_num_8.png,247,5,BHDDB,Buet_Broncos,training-a,False
42,a00042.png,Scan_194_digit_1_num_1.png,194,1,BHDDB,Buet_Broncos,training-a,False
43,a00043.png,Scan_102_digit_8_num_1.png,102,8,BHDDB,Buet_Broncos,training-a,False
